,,difference,absolute_difference,percentage_difference
Scenario1/logNormal.xes,mean_total_night_sleep_time,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_total_night_bathroom_time,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_bathroom_frequency_per_night,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_sleep_frequency_per_night,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_duration_Sleep,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_duration_Bathroom,0.0,0.0,0.0
Scenario1/logNormal.xes,mean_duration_Get_up,0.0,0.0,0.0
Scenario1/logNormal.xes,median_duration_Sleep,0.0,0.0,0.0
Scenario1/logNormal.xes,median_duration_Bathroom,0.0,0.0,0.0
Scenario1/logNormal.xes,median_duration_Get_up,0.0,0.0,0.0
Scenario1/logNormal.xes,min_duration_Sleep,0.0,0.0,0.0
Scenario1/logNormal.xes,min_duration_Bathroom,0.0,0.0,0.0
Scenario1/logNormal.xes,min_duration_Get_up,0.0,0.0,0.0
Scenario1/logNormal.xes,max_duration_Sleep,0.0,0.0,0.0
Scenario1/logNormal.xes,max_duration_Bathroom,0.0,0.0,0.0
Scenario1/logNormal.xes,max_duration_Get_up,0.0,0.0,0.0
Scenario1/logFreq.xes,mean_total_night_sleep_time,-2946.9597850000027,2946.9597850000027,9.572980721841532
Scenario1/logFreq.xes,mean_total_night_bathroom_time,1975.850082,1975.850082,410.1594348622036
Scenario1/logFreq.xes,mean_bathroom_frequency_per_night,4.103000000000001,4.103000000000001,406.2376237623763
Scenario1/logFreq.xes,mean_sleep_frequency_per_night,4.103000000000001,4.103000000000001,204.1293532338309
Scenario1/logFreq.xes,mean_duration_Sleep,-10761.725112135135,10761.725112135135,70.26692151985955
Scenario1/logFreq.xes,mean_duration_Bathroom,3.6949805947951972,3.6949805947951972,0.7746976747165412
Scenario1/logFreq.xes,mean_duration_Get_up,-1.7860000000000014,1.7860000000000014,1.4785135392435254
Scenario1/logFreq.xes,median_duration_Sleep,-8759.689999999999,8759.689999999999,65.3624701082966
Scenario1/logFreq.xes,median_duration_Bathroom,6.948999999999955,6.948999999999955,1.4593466226489493
Scenario1/logFreq.xes,median_duration_Get_up,-3.0,3.0,2.5
Scenario1/logFreq.xes,min_duration_Sleep,-7215.093999999999,7215.093999999999,99.96014115324098
Scenario1/logFreq.xes,min_duration_Bathroom,-0.20400000000000773,0.20400000000000773,0.05663080049302323
Scenario1/logFreq.xes,min_duration_Get_up,0.0,0.0,0.0
Scenario1/logFreq.xes,max_duration_Sleep,-13512.492000000002,13512.492000000002,41.71867134327718
Scenario1/logFreq.xes,max_duration_Bathroom,0.27300000000002456,0.27300000000002456,0.04552253365416291
Scenario1/logFreq.xes,max_duration_Get_up,0.0,0.0,0.0
Scenario1/logDur.xes,mean_total_night_sleep_time,-1425.4065609999998,1425.4065609999998,4.630327702025096
Scenario1/logDur.xes,mean_total_night_bathroom_time,1418.174933,1418.174933,294.39370646290945
Scenario1/logDur.xes,mean_bathroom_frequency_per_night,-0.040000000000000036,0.040000000000000036,3.960396039603964
Scenario1/logDur.xes,mean_sleep_frequency_per_night,-0.039999999999999813,0.039999999999999813,1.990049751243772
Scenario1/logDur.xes,mean_duration_Sleep,-412.5821624592754,412.5821624592754,2.693887655365696
Scenario1/logDur.xes,mean_duration_Bathroom,1481.7043742063895,1481.7043742063895,310.65736446137987
Scenario1/logDur.xes,mean_duration_Get_up,-2.3049999999999926,2.3049999999999926,1.9081599708601973
Scenario1/logDur.xes,median_duration_Sleep,-1682.8359999999993,1682.8359999999993,12.556873330810268
Scenario1/logDur.xes,median_duration_Bathroom,1487.8265,1487.8265,312.45568828070526
Scenario1/logDur.xes,median_duration_Get_up,-2.0,2.0,1.6666666666666667
Scenario1/logDur.xes,min_duration_Sleep,-2253.5999999999995,2253.5999999999995,31.222070579114263
Scenario1/logDur.xes,min_duration_Bathroom,1142.532,1142.532,317.1691262200606
Scenario1/logDur.xes,min_duration_Get_up,0.0,0.0,0.0
Scenario1/logDur.xes,max_duration_Sleep,9.570999999999913,9.570999999999913,0.02954964957067151
Scenario1/logDur.xes,max_duration_Bathroom,1800.2939999999999,1800.2939999999999,300.1975978109164
Scenario1/logDur.xes,max_duration_Get_up,0.0,0.0,0.0
